"Original.ID" "Sample.Names" "Particle" "Time" "Dx" "Sample.Order" "short_setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Au_4h_D240_1" "1_Au_4h_D240.xlsx" "Au_4h_D240_1" "Au" "4h" "D240" 1 "Au_4h" "white" "green" -26.9887784034793 10.6596295785676 5.61365774952631 0.534365846758399 2.23328998293744 9.44156086412692
"Au_4h_D240_bis_2" "2_Au_4h_D240_bis.xlsx" "Au_4h_D240_bis_2" "Au" "4h" "D240" 2 "Au_4h" "white" "green" -22.3862511881349 8.72319078471705 5.20560961332502 -4.34631861557123 3.14002062425447 3.50364571591624
"Au_4h_D240_3" "3_Au_4h_D240.xlsx" "Au_4h_D240_3" "Au" "4h" "D240" 3 "Au_4h" "white" "green" -21.0350892165869 10.6802575072831 0.60204749617694 -1.46516257397243 4.91054510973554 -3.01856890835588
"Au_4h_D238_4" "4_Au_4h_D238.xlsx" "Au_4h_D238_4" "Au" "4h" "D238" 4 "Au_4h" "white" "green" 21.3358334549506 -1.07723663282208 9.51505489983112 3.96816366943838 0.812059975215153 0.283875510119914
"PEG_4h_D240_bis_5" "5_PEG_4h_D240_bis.xlsx" "PEG_4h_D240_bis_5" "PEG" "4h" "D240" 5 "PEG_4h" "white" "red" 14.8821702284512 0.478942452867084 -9.5288585225178 -7.41204552311769 -2.13000165439836 3.4266467010899
"PEG_4h_D240_bis_6" "6_PEG_4h_D240_bis.xlsx" "PEG_4h_D240_bis_6" "PEG" "4h" "D240" 6 "PEG_4h" "white" "red" -12.3850098038191 -23.3619664725136 13.2294154885232 -8.24415827858052 -6.52687264392006 2.637468669663
"PEG_4h_D240_7" "7_PEG_4h_D240.xlsx" "PEG_4h_D240_7" "PEG" "4h" "D240" 7 "PEG_4h" "white" "red" -9.99162459662513 -7.41998334802374 -2.59584715783478 -4.89402658887169 9.0062620017138 -9.24435218157805
"Au_24h_D240_9" "9_Au_24h_D240.xlsx" "Au_24h_D240_9" "Au" "24h" "D240" 9 "Au_24h" "darkgreen" "darkgreen" -21.4038736937131 6.9345814919074 2.7113235032418 6.30241637230194 -12.3887457433864 -11.3684762329575
"Au_24h_D240_10" "10_Au_24h_D240.xlsx" "Au_24h_D240_10" "Au" "24h" "D240" 10 "Au_24h" "darkgreen" "darkgreen" 24.3941218415092 7.37142034460039 -1.15225846697144 -1.12251552766883 -3.43801855424389 0.532256333240304
"Au_24h_D240_11" "11_Au_24h_D240.xlsx" "Au_24h_D240_11" "Au" "24h" "D240" 11 "Au_24h" "darkgreen" "darkgreen" 18.5480161799589 7.94157080718008 -7.10440900734954 -7.92770548323634 -6.94532744454158 2.08540429650802
"Au_24h_D238_12" "12_Au_24h_D238.xlsx" "Au_24h_D238_12" "Au" "24h" "D238" 12 "Au_24h" "darkgreen" "darkgreen" 20.3028101442402 3.95377407374313 1.81565954927642 1.72453698862362 2.62194174930305 -1.25280726711804
"PEG_24h_D240_13" "13_PEG_24h_D240.xlsx" "PEG_24h_D240_13" "PEG" "24h" "D240" 13 "PEG_24h" "firebrick4" "firebrick4" 0.0274088839989873 -7.03500605858274 -8.76975761397175 -0.953905363830984 6.24510827832517 -2.76554271737
"PEG_24h_D240_14" "14_PEG_24h_D240.xlsx" "PEG_24h_D240_14" "PEG" "24h" "D240" 14 "PEG_24h" "firebrick4" "firebrick4" 29.0775205007068 -1.26250842623396 13.0823467899175 7.71738700837234 4.44299028026682 -0.49329109953904
"PEG_24h_D240_15" "15_PEG_24h_D240.xlsx" "PEG_24h_D240_15" "PEG" "24h" "D240" 15 "PEG_24h" "firebrick4" "firebrick4" -13.7746523353991 -9.71397797276384 -10.9829458729413 13.6204749653449 -1.60322968510681 7.46905843375946
"PEG_24h_D240_16" "16_PEG_24h_D240.xlsx" "PEG_24h_D240_16" "PEG" "24h" "D240" 16 "PEG_24h" "firebrick4" "firebrick4" -0.602601996058475 -6.87268812992588 -11.6410384482317 2.49849310401029 -0.380022276154373 -1.23687811750518
