"Evs_Au_Control_1" "Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_1" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_1" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_1" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"TAGLN3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.30617094 NA NA NA NA NA NA NA 0.3520726 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.44877183 0.5170504 NA 0.5170504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.30617094 NA
"AZGP1" NA 0.3001696 0.58854675 NA 0.552387 0.61435854 NA 0.3001696 0.18576872 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.6032454 0.3001696 NA 0.18576872 NA NA 0.34276497 0.6634127 1.1677041 NA NA NA 1.0653801 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.9724227 0.47231245 0.47231245 NA 1.6242187 2.6057863 NA 2.1622777 0.47231245 NA NA NA NA NA NA NA NA NA
"KRT8" 0.34276497 0.3001696 0.2705741 0.1428783 0.2705741 0.28233063 0.15345323 0.28233063 0.25025904 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.31219995 0.24451458 NA 0.15877736 0.28233063 0.18032062 NA 0.22743917 0.28233063 0.31219995 0.3001696 0.3001696 0.16412604 0.57398295 0.23310483 0.1428783 0.18032062 0.18032062 NA NA NA NA NA NA NA NA NA NA 0.41579378 0.24451458 0.23310483 NA 0.23310483 0.28233063 0.19398808 NA 0.28233063 NA NA NA NA NA NA NA NA NA
"IDH1" NA NA NA 0.17489755 NA NA 0.38995266 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11686325 NA NA NA NA 0.17489755 NA NA 0.2705741 NA 0.11686325 NA NA NA NA NA NA NA 0.11686325 0.11173177 0.19398808 NA NA NA NA NA NA 0.12979591 NA NA NA NA NA NA NA NA 0.1428783 NA NA 0.11686325 NA NA NA NA NA NA NA NA NA NA NA
"PIP" NA 1.4210291 2.013006 NA 1.5351286 0.7906058 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.43879855 0.43879855 NA 1.4547088 NA NA 0.9408858 0.7906058 1.3067472 0.26765192 NA NA 1.3067472 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.41579378 0.43879855 0.7906058 NA 2.013006 0.62929606 NA NA NA NA NA NA NA NA NA NA NA NA
"SLC2A3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.071519256 NA NA NA 0.071519256 0.071519256 0.071519256 0.071519256 0.071519256 0.071519256 NA NA NA NA NA NA NA NA NA NA NA NA 0.096478224 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ITIH2" NA NA NA NA NA 0.38038433 NA NA NA NA NA NA NA NA NA 0.9054607 NA NA NA NA NA NA NA NA NA NA NA 0.9054607 NA NA NA 0.9054607 0.38038433 NA NA 0.9054607 NA NA NA 1.6302679 NA NA 0.9054607 0.38038433 0.38038433 NA 0.38038433 0.38038433 NA NA 0.38038433 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.38038433 0.9054607
"P01008" 0.4421153 0.33967674 0.62554884 0.5417005 0.55596566 0.5417005 0.61064565 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.55596566 0.34586036 0.34586036 0.7021586 0.5417005 0.55596566 0.45881426 0.55596566 0.5417005 NA 0.5417005 0.503142 0.5310875 0.39315677 0.89670587 0.77010894 NA 0.5417005 NA NA NA NA NA NA NA NA NA NA 0.54881656 0.4962356 0.4962356 0.6904409 NA 2.2885165 0.5417005 2.3419504 0.52405274 NA NA NA NA NA NA NA NA NA
"P07996" 0.55955243 0.45881426 0.47231245 0.69433784 0.48936105 0.5310875 0.68267405 0.32129562 0.13762724 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.77010894 0.21618605 0.19949937 0.70608246 0.5703628 0.7498466 0.6710906 0.48251808 0.5381547 0.8281002 0.4962356 0.5417005 0.6032454 0.23879659 0.64437175 0.67494285 0.6595869 0.64058983 NA NA NA NA NA NA NA NA NA NA 0.58124804 0.13762724 0.1428783 1.0941124 NA 0.6634127 0.9678863 NA 0.44877183 NA NA NA NA NA NA NA NA NA
"O95678" 0.5310875 0.64437175 0.4321879 0.3001696 0.42560756 NA 0.32434154 0.44543982 0.38675582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.51356125 0.43879855 0.40928876 NA 0.51356125 NA NA 0.46217716 0.51356125 0.54525447 0.455459 0.5310875 NA 0.7579236 0.46217716 0.27350307 NA NA NA NA NA NA NA NA NA NA NA NA 0.54525447 0.47570658 0.46217716 0.31219995 NA 1.2803419 0.38038433 NA 0.44543982 NA NA NA NA NA NA NA NA NA
"RPS4X" NA NA 0.455459 NA 0.25602996 0.18032062 NA 0.4321879 0.5100801 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.1694994 0.1614486 0.4190575 NA 0.25602996 0.25602996 NA 0.3708818 0.25602996 1.7101917 NA NA NA 1.6915348 0.1694994 NA 0.27643883 0.1694994 NA NA NA NA NA NA NA NA NA NA 0.34586036 0.7498466 0.56314766 NA NA 0.18032062 NA 0.18032062 0.34586036 NA NA NA NA NA NA NA NA NA
"P00558" NA 0.32434154 0.6634127 0.455459 NA NA 0.503142 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.258367 0.08642566 0.08642566 1.9648314 1.5292981 1.3388374 1.084491 0.8365383 1.5003455 1.6121614 0.599558 0.37720942 NA 2.4040818 0.56314766 NA NA 0.6634127 NA NA NA NA NA NA NA NA NA NA 0.90985334 0.08642566 0.08642566 NA NA 0.33967674 NA NA NA NA NA NA NA NA NA NA NA NA
"MYH10" NA NA NA 0.16680968 NA 0.09395635 0.11943793 NA NA NA 0.26765192 0.15080035 0.08143401 NA 0.11686325 0.18032062 NA NA NA NA NA NA NA NA NA NA NA 0.24165225 NA NA 0.25892544 0.20781386 0.15080035 0.3001696 NA 0.14551294 0.33045447 NA NA 0.08143401 0.20781386 0.15345323 0.14551294 NA 0.13762724 0.1428783 0.09144032 0.07398939 0.2133888 0.09144032 0.061695576 0.10917485 NA 0.04712856 0.11686325 0.06659615 NA NA 0.16412604 0.11943793 0.1614486 0.17760599 0.13501084 0.17219532 0.13762724 NA NA NA 0.06414306 NA NA 0.13501084 0.20781386
"Q5XKe5" 0.38038433 0.42889392 0.28233063 0.27350307 0.34586036 0.32129562 0.23594749 0.31219995 0.28233063 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.43548942 0.2882495 0.2618276 NA 0.35831344 0.31219995 NA 0.31219995 0.41579378 0.5703628 0.30617094 0.37404191 0.23594749 0.42889392 0.31219995 0.3001696 0.31219995 0.31219995 NA NA NA NA NA NA NA NA NA NA 0.39315677 0.32129562 0.31219995 0.38038433 0.31219995 NA 0.42232883 0.2618276 0.29419577 NA NA NA NA NA NA NA NA NA
"BPNT2" NA NA NA NA NA NA NA NA NA NA NA NA 0.12201846 NA NA NA NA NA NA NA NA 0.12201846 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.10662377 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"YWHAB" NA NA NA 0.7864876 0.3489629 0.58124804 0.7864876 NA NA NA NA NA 0.31219995 NA 0.73780084 1.5003455 NA NA NA NA NA NA NA NA NA NA NA 0.9275249 NA NA 0.94536006 1.0749135 1.5003455 0.9815271 0.9275249 0.9275249 0.81970084 NA NA 0.6904409 1.6001594 1.1134889 0.70608246 0.41253757 0.9275249 0.566751 NA 0.52405274 0.6904409 NA NA NA NA NA NA 0.7538805 NA NA 0.9275249 NA NA 0.7864876 NA NA 0.81970084 NA NA NA NA NA NA 1.4774222 1.0941124
"Q86Y46" 0.34276497 NA 0.1561122 NA 0.20503592 0.23310483 0.09395635 0.21618605 0.1561122 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.16680968 0.16680968 0.16680968 0.09395635 0.29121923 0.21618605 NA NA 0.2705741 0.50660706 NA 0.19124198 NA 0.39315677 NA NA 0.1561122 0.18576872 NA NA NA NA NA NA NA NA NA NA 0.38995266 0.21618605 0.1561122 0.15080035 0.21618605 NA 0.38995266 0.17219532 0.21618605 NA NA NA NA NA NA NA NA NA
"UBB" 1.7861211 1.7861211 1.7861211 NA 0.72186863 0.72186863 NA 1.7861211 1.7861211 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.3419504 1.7861211 NA 3.9431071 NA 1.128139 3.9431071 3.9431071 4.2601724 NA NA 1.128139 NA 1.7861211 1.128139 1.7861211 1.7861211 NA NA NA NA NA NA NA NA NA NA 1.7861211 1.7861211 2.3419504 1.7861211 0.72186863 NA 2.4119291 1.128139 1.7861211 NA NA NA NA NA NA NA NA NA
"LOX" NA NA NA NA NA NA NA NA NA 0.15345323 NA NA NA NA NA NA NA NA NA 0.09900582 0.18032062 NA 0.09900582 0.09900582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.30918193 0.30918193 0.18032062 0.30918193 0.18032062 0.22743917 0.21898961 0.09900582 0.21898961 0.09900582 NA NA NA NA NA NA NA NA 0.09900582 NA NA NA NA NA NA NA NA NA
"Q14CN4" 0.25892544 0.16680968 0.2133888 NA 0.22461617 0.16680968 0.09900582 0.20781386 0.2133888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.20781386 0.17489755 0.22461617 NA 0.2882495 NA NA 0.16680968 0.25892544 0.30316675 0.24738348 0.16680968 NA 0.40928876 0.19674051 0.09900582 NA NA NA NA NA NA NA NA NA NA NA NA 0.38995266 0.17489755 0.16680968 0.09900582 0.32129562 NA NA 0.13501084 0.17489755 NA NA NA NA NA NA NA NA NA
"YWHAQ" NA NA NA NA 0.3520726 NA NA NA NA NA NA NA NA NA NA 1.243882 NA NA NA NA NA NA NA NA NA NA NA 0.914256 NA NA 1.1627185 0.93196833 1.5118864 1.3067472 0.41579378 0.61435854 1.0606298 NA NA NA 2.5563133 0.32434154 0.61435854 NA 0.5703628 NA NA 0.74180686 0.41579378 NA NA 0.41579378 NA NA NA 0.41579378 NA NA 0.5703628 NA NA 0.3001696 NA NA 0.37720942 NA NA NA NA NA NA 0.41579378 0.9498446
"eeF2" 0.08143401 NA NA 0.15080035 NA NA 0.08143401 NA NA NA NA NA NA NA 0.08893013 0.24738348 NA NA NA NA NA 0.19124198 NA NA NA NA NA NA NA NA 0.86208713 0.15345323 0.1428783 0.72583795 NA 0.08893013 NA NA NA 0.08143401 NA NA NA NA 0.054386854 NA NA 0.08143401 NA NA NA 0.17760599 NA NA NA 0.1271975 NA NA NA NA NA NA NA NA 0.28233063 NA NA NA NA NA NA 0.13501084 0.08143401
"P02788" 0.3614447 0.1324004 0.17489755 0.30316675 0.19124198 0.18850219 0.23026884 0.14551294 0.1561122 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.2618276 0.22179961 0.19398808 0.25025904 NA 0.11943793 0.2882495 0.17489755 0.23026884 0.6982436 0.1694994 0.20226443 0.19124198 1.4490633 0.23026884 0.23026884 0.11943793 0.15345323 NA NA NA NA NA NA NA NA NA NA 0.4321879 0.18032062 0.14551294 0.22179961 0.22179961 NA 0.19124198 NA 0.10662377 NA NA NA NA NA NA NA NA NA
"DSG1" NA NA NA NA NA NA NA NA NA 0.1428783 0.09395635 0.11429453 0.11686325 NA NA 0.14024973 0.083926916 NA 0.1428783 0.1271975 0.101539254 0.07894671 0.09144032 0.09144032 NA 0.09144032 NA NA NA NA NA NA NA NA NA 0.1428783 0.24738348 NA NA NA NA NA NA NA NA 0.13501084 0.09144032 0.15080035 0.07894671 0.028016329 NA 0.07894671 0.1428783 0.04712856 0.061695576 NA NA NA NA NA NA NA NA NA 0.23879659 NA NA NA 0.10662377 NA NA 0.07646525 0.07894671
"FNTA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.28528666 NA NA NA NA NA NA NA NA 0.10407865 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SeRPINB12" 0.64058983 0.27643883 0.27643883 NA 0.27643883 0.27643883 NA 0.27643883 0.2133888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.48936105 0.27643883 0.27643883 NA 0.27643883 NA NA 0.27643883 0.27643883 1.1777098 0.2133888 NA NA 0.73780084 NA NA 0.3520726 NA NA NA NA NA NA NA NA NA NA NA 1.1777098 0.27643883 0.32129562 0.14551294 0.36772883 NA 0.14551294 NA 0.27643883 NA NA NA NA NA NA NA NA NA
"eHD3" 0.20226443 0.26765192 0.31825674 0.3335215 0.36458313 0.25025904 0.3335215 0.31219995 0.20226443 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.2387211 0.29419577 0.2618276 0.89234364 0.5381547 0.5170504 0.7579236 0.41579378 0.41579378 1.0090928 0.18850219 0.23879659 0.24451458 0.20781386 NA 0.29419577 0.3001696 0.33967674 NA NA NA NA NA NA NA NA NA NA 0.31219995 0.38038433 0.31219995 0.41579378 NA NA 0.5100801 NA 0.2618276 NA NA NA NA NA NA NA NA NA
"HSPA1L" 0.26765192 NA NA 0.7782794 0.47910845 0.52405274 NA NA NA 0.20503592 NA NA 0.22743917 0.15345323 0.6710906 0.7139573 0.27643883 NA NA NA 0.12201846 0.4996848 NA NA NA NA NA NA NA NA 0.8749945 0.5848932 0.46217716 0.62929606 0.47910845 0.72583795 NA NA NA 0.733804 0.6904409 0.6519618 NA 0.27643883 0.40604758 0.29419577 NA 0.30918193 0.14551294 0.27643883 0.12979591 0.38675582 NA NA 0.22743917 0.6519618 NA NA 0.6672472 NA NA 0.6904409 NA NA 0.41253757 NA NA NA 0.17489755 NA NA 0.44877183 0.7458222
"KPRP" NA NA NA NA NA NA NA 0.5310875 0.44877183 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.4421153 NA NA 0.38038433 NA NA 0.2647363 0.7100153 0.72583795 NA NA NA 0.7538805 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.599558 0.2647363 0.11686325 NA 0.2647363 NA NA NA 0.5170504 NA NA NA NA NA NA NA NA NA
"KRT10" 0.5776112 NA NA NA NA NA 0.5100801 NA NA NA NA 0.5703628 NA NA 0.6634127 0.5776112 NA NA 0.5776112 0.5100801 0.52405274 0.6982436 0.4962356 0.52405274 NA 0.4962356 NA NA NA NA NA 0.56314766 NA NA NA NA 0.5776112 NA NA NA 0.4962356 0.455459 0.4962356 NA 0.4962356 NA NA 0.5100801 NA 0.5100801 NA 0.59220874 0.5100801 0.5100801 NA 0.59220874 NA NA NA NA NA NA NA 0.455459 0.59220874 NA NA NA 0.455459 NA NA NA 0.59220874
"GMFG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.19398808 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.19398808 0.19398808 NA 0.19398808 NA NA NA NA NA NA NA NA NA NA NA 0.19398808 NA NA NA NA NA NA 0.19398808 0.52405274
"KRT27" NA NA NA 0.17489755 0.17489755 NA NA NA NA NA NA NA 0.17489755 0.20226443 NA 0.24738348 NA NA 0.17489755 NA 0.1614486 NA NA NA NA NA 0.1614486 NA NA NA NA NA NA NA 0.17489755 0.27938128 NA NA NA NA NA 0.22743917 NA NA NA NA 0.2705741 NA NA 0.1614486 NA 0.17489755 0.34276497 NA NA NA NA NA NA NA NA NA NA NA 0.24738348 NA NA NA 0.17489755 NA NA NA NA
"B4GAT1" NA NA NA 0.29121923 0.14815366 0.14815366 0.29121923 NA NA 0.18850219 NA 0.13501084 0.09395635 NA 0.14815366 0.14815366 0.13501084 NA 0.09395635 NA NA 0.29121923 NA NA NA NA NA 0.59220874 NA NA 1.3120649 0.14815366 0.13501084 0.48251808 0.14815366 0.14815366 0.29121923 NA NA 0.29121923 NA NA 0.29121923 0.3708818 0.14815366 NA NA NA NA NA 0.09395635 0.24165225 0.09395635 0.09395635 0.09395635 NA NA NA 0.31825674 NA NA 0.4421153 NA NA 0.09395635 NA NA NA NA NA NA 0.23594749 0.30617094
"CTSD" 0.18304157 0.27938128 0.51356125 NA 0.21618605 NA NA 0.1694994 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.18304157 0.05681753 NA NA NA NA 0.21618605 0.16412604 0.7579236 NA NA NA 1.7797134 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.38356638 0.1694994 0.05681753 NA 0.4962356 NA NA NA 0.28528666 NA NA NA NA NA NA NA NA NA
"SeRPINB3" 0.3273945 0.5310875 0.81551564 NA 0.5310875 0.19949937 0.19949937 0.6032454 0.2882495 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.23594749 0.633052 0.5205476 NA 0.38356638 0.18032062 NA 0.4421153 0.633052 1.4099054 NA 0.18576872 NA 4.1641645 1.2698648 NA NA NA NA NA NA NA NA NA NA NA NA NA 0.87068224 0.72186863 0.23594749 NA 0.68267405 NA NA NA 0.38356638 NA NA NA NA NA NA NA NA NA
"PSMB2" NA NA NA NA NA NA 0.24451458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.34586036 NA NA NA NA NA NA NA NA NA 0.40928876 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.24451458 NA NA NA NA NA 0.13501084 NA NA NA NA NA NA 0.24451458 0.24451458
"CLTC" NA NA NA 0.049542427 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.64816236 NA NA 0.31522477 NA NA 0.52405274 NA 0.06905484 0.566751 NA NA 0.06414306 1.3604782 NA 0.07894671 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.09395635 NA NA 0.08143401 NA NA 0.05681753 NA NA NA NA NA NA 0.11943793 0.07646525
"PKP1" NA NA NA NA NA NA NA 0.07646525 NA 0.09900582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.07894671 NA 0.049542427 0.10917485 NA NA NA 0.10407865 NA NA NA NA NA NA NA NA NA NA NA 0.24451458 NA NA NA NA NA NA NA NA
"KRT83" 0.566751 NA NA NA NA NA NA NA NA NA 0.4190575 NA NA NA NA NA NA NA NA NA NA 1.5703957 0.11943793 NA NA NA NA 0.7100153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.52405274 NA NA NA NA NA 0.1561122 NA 4.272298 NA NA 0.11943793 NA NA NA NA NA NA NA 0.1561122
"eIF5A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.19674051 NA NA NA NA NA 0.36772883 NA NA NA NA NA 1.0796967 NA NA NA NA 0.19674051 NA NA NA 0.19674051 NA NA NA 3.1399965 0.19674051 NA NA 0.73780084 0.36772883 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.7906058 NA NA NA NA NA NA NA 0.19674051
"KRT81" NA NA NA NA NA NA NA NA NA NA 0.41253757 NA NA NA NA 0.6069412 NA NA NA NA NA 1.6668587 0.11686325 NA NA NA NA 0.7458222 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.51356125 0.8365383 0.70608246 NA NA NA 0.15345323 0.5848932 2.7325017 NA NA 0.11686325 NA NA NA NA NA NA NA 0.15345323
"HNRNPK" NA NA NA NA 0.12201846 0.12201846 NA NA NA 0.08893013 NA 0.15345323 NA NA NA 0.40281367 NA NA NA NA NA 0.21898961 NA NA NA NA NA 0.13762724 NA NA 0.21898961 NA NA NA 0.1324004 NA 0.39315677 NA NA NA NA NA NA NA NA 0.28233063 0.08893013 0.27643883 0.40928876 0.21898961 NA 0.40928876 NA NA NA NA NA NA 0.21898961 NA NA NA NA NA 0.4521116 NA NA NA NA NA NA NA 0.061695576
"PGK2" 0.2133888 0.33967674 NA NA 0.18576872 0.21898961 0.18032062 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.64437175 0.08642566 0.08642566 0.503142 NA 0.47231245 0.455459 0.39958727 0.57398295 NA NA 0.23310483 0.42232883 0.38356638 0.28233063 NA 0.28233063 0.455459 NA NA NA NA NA NA NA NA NA NA 0.5205476 0.08642566 0.08642566 0.37720942 NA NA 0.2133888 NA NA NA NA NA NA NA NA NA NA NA
"B4GALT1" NA NA NA 0.30918193 0.08893013 0.08893013 0.31522477 NA NA 0.17489755 0.20781386 NA NA 0.04712856 NA 0.56314766 NA NA 0.18850219 NA NA 0.4927944 NA NA NA NA NA 0.31522477 NA NA 0.3614447 0.08893013 0.08893013 0.40928876 0.08893013 0.08893013 0.22179961 NA NA 0.17489755 NA NA 0.31522477 0.08893013 0.08893013 NA NA NA 0.08893013 NA NA 0.34586036 NA NA NA NA NA NA 0.5205476 NA NA 0.31522477 NA 0.08893013 NA NA NA NA NA NA NA 0.08893013 0.08893013
"PSMA7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.6069412 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.30918193 NA NA NA NA NA 0.22743917 NA NA NA NA NA NA NA 0.35831344
"ARF4" NA NA NA NA NA NA 1.0464447 NA NA NA NA NA 0.41253757 NA NA 1.2080047 NA NA NA NA NA NA NA NA NA NA NA 2.784426 NA NA 1.6424088 0.87068224 1.0230191 0.89670587 NA NA 1.7478943 NA NA NA 1.6121614 1.0230191 1.0230191 NA 0.8492687 NA NA NA NA NA NA NA NA NA NA NA NA NA 1.5763211 NA NA 0.64816236 NA NA 0.30918193 NA NA NA NA NA NA NA 0.13762724
"ACe" NA NA NA 0.20503592 NA 0.061695576 0.13501084 NA NA NA NA NA NA NA 0.15877736 0.035142183 NA NA NA NA NA NA NA NA NA NA NA 0.2882495 NA NA 0.21059811 0.08893013 0.11686325 0.2647363 NA NA 0.071519256 NA NA 0.24165225 NA 0.1324004 0.23879659 0.059253693 0.09900582 NA NA NA NA NA NA NA NA NA NA NA NA NA 0.18304157 NA NA 0.24738348 NA NA NA NA NA NA NA NA NA 0.2618276 0.14815366
"TG" 0.028016329 NA NA 0.19674051 0.037528396 0.1271975 0.19674051 NA NA NA NA NA NA 0.06905484 0.17760599 NA NA NA NA NA NA NA NA NA NA NA NA 0.23879659 NA NA 0.15877736 0.11943793 0.054386854 0.33045447 NA 0.1614486 0.028016329 NA NA 0.18304157 0.04712856 0.1428783 0.23594749 0.08143401 0.11686325 NA NA NA NA NA NA 0.009252906 NA NA NA 0.06905484 NA NA 0.25314116 NA NA 0.25025904 NA NA NA NA NA NA NA NA NA 0.23879659 0.16680968
"H2A1" NA NA NA NA NA NA NA 0.3273945 NA 0.17219532 0.17219532 0.8578044 0.64058983 NA 0.17219532 0.64058983 0.5848932 0.3273945 0.64058983 0.17219532 0.17219532 0.64058983 NA 0.17219532 0.39958727 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.64058983 0.17219532 0.17219532 0.64058983 0.17219532 0.17219532 NA 0.17219532 0.17219532 0.17219532 NA NA NA NA NA NA NA 0.3273945 0.3273945 0.64058983 0.17219532 NA 0.39958727 0.64058983 0.17219532 0.39958727 0.17219532 0.64058983
"H2AJ" NA NA NA NA NA NA NA 0.33045447 NA 0.17489755 0.17489755 0.86637974 0.64816236 NA 0.17489755 0.64816236 0.59220874 0.33045447 0.64816236 0.17489755 0.17489755 0.64816236 NA 0.17489755 0.40281367 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.64816236 0.17489755 0.17489755 0.64816236 0.17489755 0.17489755 NA 0.17489755 0.17489755 0.17489755 NA NA NA NA NA NA NA 0.33045447 0.33045447 0.64816236 0.17489755 NA 0.40281367 0.64816236 0.17489755 0.40281367 0.17489755 0.64816236
"H2AC20" NA NA NA NA NA NA NA 0.33045447 NA 0.17489755 0.17489755 0.86637974 0.64816236 NA 0.17489755 0.64816236 0.59220874 0.33045447 0.64816236 0.17489755 0.17489755 0.64816236 NA 0.17489755 0.40281367 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.64816236 0.17489755 0.17489755 0.64816236 0.17489755 0.17489755 NA 0.17489755 0.17489755 0.17489755 NA NA NA NA NA NA NA 0.33045447 0.33045447 0.64816236 0.17489755 NA 0.40281367 0.64816236 0.17489755 0.40281367 0.17489755 0.64816236
"IGFBP6" NA NA NA NA NA NA NA NA NA 0.1561122 NA NA 0.1561122 NA NA 0.31219995 NA NA 0.1561122 0.3001696 0.3001696 0.1561122 NA 0.1561122 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.1561122 NA NA NA NA NA 0.1561122 0.22743917 0.64058983 0.2882495 0.1561122 0.2882495 0.1561122 NA NA NA NA NA NA NA NA NA NA NA NA 0.1561122 NA NA 0.1561122 NA NA NA NA NA
"TUBB2B" NA NA NA 1.1086283 NA NA NA NA 0.10917485 0.29419577 NA NA NA 0.21618605 NA 1.2908678 NA NA 0.5205476 NA 0.0519619 0.8323144 NA NA NA NA NA NA NA NA 2.040885 NA NA NA NA NA NA NA NA 1.18273 NA NA NA NA NA 0.32129562 NA NA NA NA 0.1428783 NA 0.10917485 NA NA NA NA NA NA NA NA NA NA NA 1.1086283 NA NA 0.0519619 NA NA NA NA NA
