"Evs_Au_Control_1" "Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_1" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_1" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_1" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"SeRPINA5" 2.5645113 NA NA 2.9719157 1.8183827 2.040885 2.9719157 0.81970084 0.48936105 3.3752208 2.1260793 2.4434993 3.2072663 1.1086283 2.040885 3.0831938 2.0549212 0.50660706 2.6475399 1.4210291 1.4210291 3.0831938 0.67880404 1.2594359 1.084491 0.86208713 0.19398808 3.0364542 NA NA 2.9902492 1.7925436 1.8510184 2.8370724 1.7925436 1.7925436 3.0364542 NA NA 2.8370724 1.8183827 2.4673686 2.9902492 2.006076 2.6897762 3.2559843 2.8370724 2.6475399 3.549881 2.4434993 2.427678 4.345644 2.2734067 1.9376497 1.8183827 2.9902492 NA NA 3.0831938 2.2734067 3.226686 3.0831938 2.6897762 2.1477482 3.305266 3.0831938 2.7068074 3.7973342 2.427678 1.7101917 2.3496542 2.3884413 2.1622777
"CFH" 0.40604758 NA NA 0.6710906 0.7298163 0.9769696 0.67494285 0.7021586 0.30316675 0.93196833 0.8578044 1.5409727 1.3280914 0.4996848 1.1727014 3.0271707 0.5381547 0.1428783 0.43548942 1.243882 1.285599 1.0137241 0.95884466 1.4547088 0.032761455 2.1695673 0.4996848 0.47570658 NA NA 0.94536006 0.89670587 0.7864876 1.285599 0.86637974 1.004472 1.3280914 NA NA 1.1527817 0.27938128 1.1232445 0.9952624 1.128139 1.0511622 0.73780084 2.1188898 1.7989812 1.0558906 1.9716659 1.8773985 0.79473364 1.6607251 2.1915379 0.92309177 0.914256 NA NA 1.3713737 1.4888573 0.91866875 1.4043627 1.3227367 1.5351286 0.32129562 0.25892544 0.32129562 0.26765192 0.4421153 0.8281002 0.1614486 1.3496327 1.3933158
"AHSG" 2.9445727 NA NA 2.9445727 2.1695673 2.1117163 2.9445727 1.6485 1.6001594 2.9445727 2.9445727 2.698282 2.9445727 2.9445727 2.9445727 2.9445727 1.6485 1.9174271 2.9445727 2.0338912 1.6485 2.9445727 1.6001594 1.6001594 1.6668587 1.6485 1.6001594 2.7931497 NA NA 2.9445727 1.8248799 2.9445727 2.9445727 3.1783037 2.1695673 2.8459177 NA NA 2.9445727 2.9445727 2.9445727 2.9445727 2.9445727 3.3451023 2.9445727 2.9445727 2.698282 2.9445727 1.7542286 2.2136607 2.9445727 1.7542286 1.9174271 1.7542286 2.9445727 NA NA 3.0457587 2.7931497 2.7931497 2.9445727 2.9445727 2.7931497 2.9445727 2.3806486 1.8248799 2.9445727 2.2136607 1.8248799 2.5645113 3.3451023 3.3451023
"KNG1" 0.8365383 NA NA 0.8450154 1.3550494 1.2542391 0.81551564 0.5958791 0.55596566 1.4603674 1.6242187 1.8906798 1.77332 0.5100801 1.2961485 2.8018937 0.7100153 0.45881426 1.285599 0.73780084 0.91866875 1.7039585 0.566751 0.6634127 0.06905484 0.9498446 0.39636838 0.73780084 NA NA 1.5351286 1.1928048 1.2335722 0.8793168 1.3014419 1.1877615 0.9275249 NA NA 0.7298163 0.70608246 1.5527012 0.7298163 1.243882 1.5468302 1.8575904 1.8575904 1.8906798 1.7542286 1.9444218 1.9512093 1.5468302 1.9107172 1.8906798 1.4603674 0.8450154 NA NA 1.3988328 1.7542286 1.1627185 1.084491 1.3659198 1.8248799 1.3988328 1.133045 0.9275249 0.40281367 1.2181964 0.9769696 0.32129562 1.4888573 1.3550494
"SeRPINF1" 2.0760968 NA NA 2.9264498 2.2885165 2.4753616 3.168694 1.5061095 1.0892961 2.6307805 1.8183827 1.5061095 2.672823 1.6181829 2.4355795 2.7931497 1.8183827 1.041738 2.5318315 0.9769696 0.9769696 2.7325017 0.9769696 0.98609483 1.2698648 1.3988328 0.06905484 2.672823 NA NA 3.168694 2.2885165 2.2885165 3.008667 2.2885165 2.2885165 2.0760968 NA NA 3.0364542 2.3036954 2.3265955 2.9719157 2.3265955 2.7931497 2.6307805 1.7861211 1.5351286 2.775722 1.5351286 1.5061095 2.8194427 1.5351286 1.5061095 1.5061095 2.6307805 NA NA 3.2854853 1.7861211 1.6061535 3.3151908 1.7861211 1.5061095 2.250873 2.4197948 1.8973436 2.198895 1.8183827 1.3067472 0.7100153 2.3962524 2.4197948
"APOH" 1.3014419 NA NA 0.9633602 1.6853445 2.0902956 1.8119009 0.25602996 0.18032062 2.459394 1.4154608 1.6668587 1.8906798 0.7741895 1.6668587 2.6057863 0.5958791 0.3335215 1.9648314 0.5958791 0.3489629 2.1695673 0.2705741 0.25602996 0.2705741 0.503142 0.27938128 0.48251808 NA NA 2.459394 1.6668587 1.6853445 2.8547833 1.831392 1.6668587 0.9498446 NA NA 1.5292981 1.7925436 2.3265955 0.8492687 2.258367 2.3265955 1.8119009 2.3036954 2.1695673 1.831392 2.6475399 2.3884413 2.0269132 1.5941794 1.8707807 1.5468302 0.9906733 NA NA 1.9648314 1.6668587 1.8510184 1.9512093 1.6668587 1.9648314 1.1379621 0.69433784 0.87068224 0.6069412 1.8119009 1.4154608 0.3335215 2.9536662 2.6475399
"GSN" 1.6363313 NA NA 2.1045597 1.6302679 2.0199516 2.198895 0.62929606 0.32434154 1.7289777 1.8444612 1.77332 1.4490633 1.1379621 1.9922645 2.459394 0.9010782 0.38356638 1.6730065 0.8365383 1.0137241 1.9174271 0.38675582 0.914256 0.62554884 0.7741895 0.06905484 2.0619633 NA NA 2.2210689 1.4154608 1.7542286 2.0974193 1.2803419 1.4490633 1.8248799 NA NA 2.2284942 1.6061535 1.6485 2.1188898 1.5822601 1.9174271 1.7925436 1.6915348 1.8973436 2.1841977 1.6546056 1.8183827 2.0619633 1.6061535 1.3388374 1.1037784 1.7669415 NA NA 2.365116 1.2181964 1.6242187 2.334264 1.4378109 1.6242187 1.3604782 1.0892961 1.2803419 1.1086283 1.3496327 1.0892961 0.77010894 1.7669415 1.6001594
"FeTUB" 1.4717243 NA NA 1.3442287 1.5585859 1.5585859 2.723917 0.9724227 0.62929606 2.427678 1.3280914 1.4434304 2.040885 1.0276828 1.4547088 2.4434993 1.1037784 0.53461695 1.9853826 0.9815271 0.6368165 2.1695673 0.9724227 0.6368165 0.3614447 0.6368165 0.455459 1.42661 NA NA 2.6812897 1.4434304 1.5763211 3.4258833 1.4434304 1.4434304 1.3280914 NA NA 2.040885 1.4717243 2.2284942 1.5763211 1.4434304 1.5585859 1.3280914 1.3988328 1.3280914 1.7352688 1.3823195 1.3280914 1.128139 0.6368165 0.73780084 1.3280914 1.5585859 NA NA 2.5318315 1.3280914 1.4434304 3.3451023 1.3280914 1.3280914 1.4434304 1.0558906 1.0558906 1.0276828 0.92309177 0.73780084 0.7100153 2.040885 2.040885
"C4" 1.4099054 NA NA 1.837919 1.3659198 1.7478943 2.4197948 0.43548942 0.36772883 1.1577444 1.1677041 1.1677041 1.0653801 0.9952624 1.6001594 2.365116 0.7782794 0.30617094 1.2908678 0.64816236 0.5848932 0.93196833 0.31219995 0.50660706 0.43548942 0.5958791 0.08143401 1.5003455 NA NA 2.1260793 1.4154608 1.5118864 1.9174271 1.118361 1.2181964 1.1928048 NA NA 1.8906798 0.93196833 2.0478952 2.0199516 1.7164392 1.9991624 1.3878112 0.86637974 0.9633602 1.3823195 0.91866875 0.89234364 1.1478305 0.64816236 0.58854675 0.6672472 1.6730065 NA NA 2.3189442 1.032357 1.2542391 2.3496542 1.0796967 1.0796967 1.1677041 1.3933158 1.4434304 0.67880404 1.1677041 0.9906733 0.5205476 1.8183827 1.9853826
"A1BG" 1.9853826 NA NA 2.040885 2.040885 1.9853826 2.0269132 0.93196833 0.40928876 2.0690222 1.6730065 1.7352688 1.4660394 1.1379621 1.7605777 2.334264 1.2490547 0.21618605 2.0690222 1.0701413 1.0701413 2.0690222 1.004472 1.0137241 0.455459 1.004472 0.11686325 2.1841977 NA NA 2.8547833 1.5234809 2.040885 2.758374 1.5234809 1.6853445 1.5118864 NA NA 1.9853826 1.2698648 2.672823 2.040885 1.5118864 2.0690222 2.0690222 1.6730065 1.6730065 2.0690222 1.7352688 1.6730065 1.5234809 1.2490547 1.4434304 1.5234809 1.5234809 NA NA 2.243396 1.5234809 1.9716659 2.1841977 1.5118864 1.5703957 1.5351286 2.2136607 2.040885 1.3120649 1.5234809 1.2594359 0.8281002 1.8119009 2.334264
