"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"PGFS1" 6 NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA
"ATP6V1e1" 3 NA 3 NA NA NA NA NA 4 NA NA NA NA NA NA NA
"S100A12" 8 4 3 NA NA NA NA NA 3 NA NA NA NA NA NA NA
"SePTIN11" 3 2 NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"TUBA8" NA NA NA NA NA 21 NA NA 20 NA NA NA NA NA 24 11
"PSMA2" 1 1 NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"HNRNPA2B1" 6 6 2 NA NA 2 NA NA 3 NA NA NA NA NA NA NA
"eHD1" 5 4 4 NA NA NA NA NA 5 NA NA NA NA NA 1 NA
"CORO1A" 5 5 7 NA NA NA NA NA 10 1 2 NA NA NA 3 NA
"CRIP2" 2 NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"IGFBP4" 10 5 10 NA NA NA NA NA 7 NA NA NA NA NA NA NA
"eIF4H" 1 2 1 NA NA NA NA NA 1 NA NA NA NA NA NA NA
"CKM" 18 12 15 NA 9 NA NA NA 13 NA NA NA 5 NA 7 10
"MAP10" NA 2 3 NA NA NA NA NA 8 NA NA NA 2 NA NA NA
"CTSC" 5 4 6 NA NA NA NA NA 4 NA NA NA NA NA 5 1
"COLeC11" NA 2 2 NA NA NA NA NA 2 NA NA NA 1 NA 6 1
"MGP" 4 NA 2 NA NA NA NA NA 2 NA NA 1 NA NA 2 NA
"OSTF1" 4 1 3 NA NA NA NA NA 6 1 NA NA NA NA NA 2
"IGFBP6" 7 5 7 2 NA NA NA NA 5 1 2 5 NA NA NA NA
"SeRPINH1" 4 2 NA NA NA NA NA NA 5 NA NA NA NA NA NA NA
"ANG1" 3 3 4 1 NA NA NA NA 2 NA NA NA NA NA NA NA
"FABP1" 8 NA 5 NA NA NA NA NA 5 NA NA NA 5 NA 6 NA
"HNRNPK" 6 4 6 NA NA NA NA NA 5 NA NA NA NA NA NA NA
"CST3" 10 5 7 2 NA NA NA NA 3 2 3 5 1 1 NA NA
"SBDS" NA NA 1 NA NA NA NA NA 3 NA NA NA NA NA NA NA
"CD44" 2 NA NA NA NA NA NA NA 1 NA NA NA NA NA 2 1
"KRT222" NA 3 2 NA NA NA NA NA 4 NA NA NA NA NA 2 NA
"ATP6V1D" 6 4 3 NA NA NA NA NA 4 NA NA NA NA NA NA NA
"OGN" 1 2 4 NA NA NA NA NA 1 NA 1 NA 3 NA 1 NA
"ARPC2" 2 NA 3 NA NA NA NA NA 8 NA 1 NA NA NA NA NA
"ATIC" 6 6 NA NA NA NA NA NA 6 NA NA NA NA NA 4 NA
"BCL2L14" 5 NA NA NA NA NA NA NA 4 NA NA NA NA NA NA 6
"TCN2" 2 4 1 NA NA NA NA NA 6 NA NA NA NA NA NA NA
"IGFBP5" 7 4 8 NA NA NA NA NA 9 NA NA NA NA NA NA NA
"PLA1A" 7 NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA
"COLGALT1" 1 NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"MTAP" 7 7 5 NA NA NA NA NA 9 NA NA NA NA NA NA NA
"ASS1" NA NA 1 NA NA NA NA NA 1 NA NA NA NA NA NA NA
"GPR39" 2 NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"LeCT2" 3 NA 3 NA NA NA NA NA 3 NA NA 1 NA NA NA NA
"RPS18" NA NA 3 NA NA NA NA NA 2 NA NA NA NA NA NA NA
"MYL12B" 4 NA 3 NA NA NA NA NA 2 NA NA NA NA NA 2 NA
"FKBP4" NA NA NA NA NA 3 NA NA 2 NA NA NA NA NA NA NA
"HSPB1" NA NA NA NA NA 5 NA NA 3 NA NA NA NA NA NA NA
"XPNPeP1" NA NA NA NA 6 NA NA NA NA NA 1 NA NA NA NA NA
"MAeA" NA NA NA NA 1 NA NA NA NA NA 3 NA NA NA NA NA
"AHSA2" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 2 NA
"NOSTRIN" NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA
"TNFAIP8L2" 2 NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"OMD" 3 1 NA NA NA 4 2 NA NA NA NA NA NA NA NA NA
"DNM1L" 2 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"NMe2" NA 3 NA NA NA 5 4 NA NA NA NA NA NA NA NA NA
"ARHGDIB" NA NA 2 NA NA NA NA NA NA NA NA NA NA NA 3 NA
"MAML2" 2 NA NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA
"ITGB1" NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"FMOD" 5 3 1 1 NA NA NA NA NA NA NA 1 1 NA NA NA
"HBe2" NA NA 6 NA NA NA NA NA NA NA NA NA 4 NA NA NA
"SPON1" 2 NA 2 NA NA NA 2 NA NA NA NA NA NA NA NA NA
"VDAC1" NA NA NA NA NA 1 NA NA NA NA NA 1 NA NA NA NA
"MYH7" NA NA NA 4 NA NA 18 NA NA NA NA 4 NA NA NA NA
"eBD" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"HSPA2" NA NA NA NA NA NA 5 2 NA NA NA 1 NA NA NA 3
"UBC" NA 4 NA 1 NA NA NA NA NA NA NA 1 NA 2 3 NA
"CFAP210" NA 6 2 1 NA 8 8 NA NA 1 NA 1 NA 1 NA NA
"RHOC" 3 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"CA3" 5 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SNRPD1" NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"PNPO" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPS20" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RAB5C" 2 NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA
"UBe2M" 2 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"CTNNB1" 5 5 NA 5 NA 16 7 NA NA NA NA NA 4 5 NA NA
"ANKRD54" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA 2 NA
"SeRPINA3-3" NA NA NA 24 NA NA NA NA NA 29 116 23 NA 7 NA NA
"COQ6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"RAB6B" 2 3 2 NA NA NA 2 NA NA NA NA NA NA NA NA NA
"RDX" NA 6 4 NA NA NA 5 NA NA NA NA NA NA NA NA NA
"RHOB" 5 2 3 NA NA 2 NA NA NA NA NA NA NA NA NA NA
"BPIFB1" 2 3 2 NA NA 1 2 NA NA NA NA NA NA NA NA NA
"ACTC1" 36 33 33 2 NA 30 28 NA NA NA NA 4 15 4 36 19
"APP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"eeF1D" 5 3 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"COL2A1" 3 NA 2 NA NA NA 2 NA NA NA NA NA NA NA 4 NA
"RAB27B" 3 2 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA
"CRYAB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"GNAI1" 2 NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA
"ANP32B" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 4 3
"UTP15" 9 11 15 NA 14 6 NA NA NA 2 6 NA 10 NA 6 14
"DRC7" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"K2C4" 9 NA NA NA NA NA 14 NA NA NA NA NA NA NA NA NA
"CD47" NA NA NA NA NA 2 1 NA NA NA NA NA NA NA NA NA
"CATHL2" NA NA NA NA NA 1 1 NA NA NA NA NA NA NA NA NA
"GDF6" 8 NA NA NA 2 5 NA NA NA NA NA NA NA NA 8 NA
"KRT78" 8 5 NA NA 4 9 NA NA NA NA NA NA 4 NA 5 NA
"PLeKHA2" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"SeLeNOK" NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA
"IMP4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1
"SLC15A4" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"PReLID1" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"RPL12" NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"GTF2I" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"TMSB10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"IDH1" 2 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PPP1CB" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"UBA52" NA 4 NA 1 NA 9 NA NA NA NA NA 1 3 2 3 NA
"POLR3A" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GNB1" 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PSMA7" 4 NA 3 NA NA 3 NA NA NA NA NA NA NA NA NA NA
"RAB8B" NA 7 5 NA NA 5 NA NA NA NA NA NA NA NA NA NA
"MeD30" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"TALDO1" NA 6 NA NA NA NA NA NA NA NA 23 NA NA NA NA NA
"KRT35" NA 4 NA 36 NA 105 NA NA NA NA NA NA NA 9 NA NA
"GMFG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"HNRNPA1" NA NA NA 4 NA 3 NA NA NA NA NA NA NA 2 NA NA
"KRT81" NA NA NA 126 NA 215 NA NA NA NA NA NA NA 24 NA NA
"GPLD1" 5 3 4 1 NA 3 1 NA NA NA NA NA NA NA NA NA
"eIF4A1" NA NA NA 1 NA 7 NA NA NA NA NA NA NA 2 1 NA
"ATP5F1B" NA NA NA 1 NA 4 NA NA NA NA NA NA NA 1 NA NA
"PKP1" NA NA NA 2 NA 10 NA NA NA NA NA NA NA 1 NA NA
"KRT83" NA NA NA 88 NA 243 NA NA NA NA NA NA NA 24 NA NA
"SFN" NA NA NA 3 NA 18 NA NA NA NA NA NA NA 2 NA NA
"MRPS24" 4 NA NA NA NA 3 NA NA NA NA NA NA NA NA 8 NA
"GIMD1" NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA
"PDIA4" 3 6 NA NA NA 3 NA NA NA NA NA NA NA NA 3 7
"RAP1A" NA NA NA 3 8 NA NA NA NA 4 5 2 NA NA NA NA
"HP251" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 3 3
"HP1BP3" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"ACCS" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"ANXA6" 3 NA 3 NA NA 3 NA NA NA NA NA NA NA NA NA NA
"H3-3A" NA NA NA NA NA 12 NA NA NA NA NA NA NA NA NA NA
"UMOD" NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA
"CHCT1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2
"RPL30" 2 NA NA NA NA 8 NA NA NA NA NA NA NA NA NA NA
"eXT2" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ACO1" 5 9 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"MX2" NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA
"SNRPN" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"RPL7" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA 4 NA
"PSMB2" NA 2 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"LAP3" NA NA NA NA NA 4 NA NA NA NA NA NA NA 1 NA NA
"TYROBP" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"TUBA3" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"CNP" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TAF7" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"HBe4" 5 NA 6 NA NA NA NA NA NA NA NA NA 4 NA NA NA
"CSNK1D" 1 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"CLTC" NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA
"ACTN3" 3 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"DAW1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"VAMP2" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 1 NA
"CRYBB1" NA NA NA NA 1 3 NA NA NA NA NA NA NA NA NA NA
"KRT40" NA NA NA NA 3 37 NA NA NA NA NA NA NA NA NA NA
"TUBA1C" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"PDLIM1" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PSMB1" 4 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"PRIMPOL" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AOC3" NA 7 5 NA NA NA NA NA NA NA NA NA 4 NA 2 1
"SAR1A" 2 2 2 NA NA 2 2 NA NA NA NA NA NA NA NA NA
"KRT74" NA NA NA NA NA 9 7 NA NA NA NA NA 4 NA NA NA
"ARPC4" 3 3 3 NA NA 3 2 NA NA NA NA NA NA NA NA NA
"NMe1-1" 3 3 NA NA NA 5 3 NA NA NA NA NA NA NA NA NA
"USO1" 11 23 6 NA NA 12 8 NA NA NA NA NA NA NA 15 NA
"NMe1-2" 3 3 NA NA NA 5 3 NA NA NA NA NA NA NA NA NA
"PDe12" 5 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA
"GATC" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"MPV17L" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"S100A8" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"eMC10" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RACK1" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"PLCD1" NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA
"63258" NA NA NA 13 NA NA NA NA NA NA NA NA NA NA NA NA
"PSMC4" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"PTPDC1" NA NA 4 NA NA NA NA NA NA NA NA NA 4 NA NA NA
"ACTN1" 4 3 5 NA NA NA NA NA NA NA NA NA NA NA 7 NA
"CAPZA2" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"COTL1" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PReP" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"LUC7L3" NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA
"GPATCH1" NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA
"CNOT10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"LDHAL6B" 3 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"PGAM2" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PTGDS" NA NA 1 NA NA NA NA NA NA NA NA NA 1 NA NA NA
"SLC20A2" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"UBB" NA 4 NA 1 NA NA NA NA NA NA NA 1 3 2 3 NA
"SWAP70" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"HeXA" NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA
"ANPeP" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2
"eIF3J" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CYP19A1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"ADH5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"FeN1" NA NA NA 13 NA NA NA NA NA NA NA NA NA 2 NA NA
"RPS16" 2 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"DPP6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA
"DHX36" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"RPL6" NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA
"ACTG2" NA NA NA 2 NA NA NA NA NA NA NA 4 NA 4 NA NA
"PPP1CA" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ADGRL3" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RAB13" 5 4 3 NA NA NA 4 NA NA NA NA NA NA NA 4 NA
"RAB7A" 3 NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA
"RPS3" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA
"PSMB3" NA NA NA 1 NA NA NA NA NA NA NA 1 1 NA NA NA
"eIF4A2" NA NA NA 1 NA NA NA NA NA NA NA NA NA 2 1 NA
"VAMP3" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 1 NA
"ZDHHC9" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"HGS" NA NA NA NA NA 1 NA NA NA NA NA NA 2 NA NA 4
"PLS1" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BRCA1" NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPL7A" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"ACTR2" NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"ARHGeF9" NA NA NA NA NA 4 NA NA NA NA NA NA NA 3 NA NA
"PRND" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ARF2" NA NA NA NA NA NA NA NA NA NA 1 2 NA 2 NA NA
"HPSe" NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"PLA2G7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"eNPP2" NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GOT1L1" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SNRPB" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"MYLK" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 4
"POLA2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"CAPN2" 11 7 5 NA NA NA NA NA NA NA 1 NA NA NA NA NA
"ASL" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"SAT2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2
"PPIC" 3 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD14" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1
"GALM" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GNAT2" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SAA1" 2 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"RPL27" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
"ACTN2" 2 NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"AOCX" 7 6 NA NA NA NA NA NA NA NA NA NA 4 NA 2 NA
"SeLeNOP" 3 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"DNAJC12" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"ALDOB" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"QDPR" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"eeF2" NA NA NA 5 NA 11 NA NA NA NA NA NA NA 1 NA NA
"ZFYVe27" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA
"C1S" 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 4 NA
"MIF" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"ADSL" NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ARFIP2" NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA 2
"DDX39B" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"VIM" NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA
"GUF1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7 NA
"CATHL7" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"TIe1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"CS" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"P68432" NA NA NA NA NA 12 NA NA NA NA NA NA NA NA NA NA
"ascc3" NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA
"PPP1CC" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"PPP2CB" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"eeF1G" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA
"PARK7" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"ATP5F1A" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"RPS8" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"MeA1" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"ACAP1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2
"B4GAT1" NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA
"TXN" 2 2 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"SeC13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"ADGRL2" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CDC23" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"SeLeNBP1" NA NA NA NA NA 14 NA NA NA NA NA NA NA NA NA NA
"APOBeC2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"BHMT" NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"COMT" NA 2 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
" K2CB" NA NA 10 NA NA NA NA NA NA NA NA NA NA NA NA NA
"AMH" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA
"TNFAIP8" NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA
"PSMA1" 6 NA 7 NA NA NA NA NA NA NA NA NA NA NA NA NA
"AP5B1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"FAM174B" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"HPD" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"PYY2" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TRIM2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"ASPN" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10 NA
"PGAM1" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"P4HB" NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"HPCAL1" NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WDR18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"KRT28" 10 12 NA NA 6 NA NA NA NA NA NA NA NA NA NA 9
"ZRANB3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"SePTIN6" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"KRTAP10-8" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA
"CAPZA1" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ST14" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"CDCA2" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA
"UBe2D1" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"CFL2" NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA
"CMPK1" NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA
"ACTA2" NA NA NA 2 NA NA NA NA NA NA NA 4 NA 4 NA NA
"SPZ1" NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA
"LYRM7" NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA
"ANXA4" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"PAFAH1B1" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ALYReF" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GNB2" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"GeT4" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"GRB14" NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA NA
"PROCR" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA
"PDIA3" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"ABAT" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"PFKL" 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"DUSP14" NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA
"TRMT5" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"BCL2L2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"SMC3" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"PSMD2" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA
"PYGL" NA 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TMeM169" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"F11" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TBX6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"PSMA4" NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA
"RPSA" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA
"ACTN4" 6 4 6 NA NA NA NA NA NA NA NA NA 4 NA 5 NA
"DCXR" 4 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CCT6A" NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA
"MMP2" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4
"PSMA6" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H2AZ2" NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA
"VTA1" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CHRNA5" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ALDH9A1" 5 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NNAT" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2
"ANXA8" NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA
"NUDT11" NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"COL11A2" 8 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Q5e9F8" NA NA NA NA NA 12 NA NA NA NA NA NA NA NA NA NA
"C5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"PCMTD1" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"RAB5A" NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA
"FeM1C" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA
