"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"ANXA5" 10 6 13 2 6 13 12 NA 13 NA NA 1 9 NA 5 5
"ARF1" 17 19 17 2 3 16 12 NA 12 2 1 2 4 2 8 NA
"RAB1B" 10 7 9 1 2 9 7 NA 4 2 1 NA NA NA 7 NA
"HP20" 11 4 5 NA 2 4 5 NA 4 NA NA NA 3 NA 7 2
"PROZ" 11 15 16 NA 4 12 13 NA 21 2 4 2 7 NA 14 11
"LDHA" 20 9 17 NA 2 11 13 NA 6 NA NA NA NA NA 7 NA
"COL1A2" 7 2 5 NA 6 6 4 NA 9 2 3 2 7 NA 9 6
"ACTG1" 59 53 49 NA 27 48 48 NA 41 6 9 19 32 8 52 31
"TUBB3" 17 17 11 NA 3 25 17 NA 21 NA NA 1 7 NA 43 16
"YWHAQ" 7 9 7 NA 3 9 5 NA 6 NA NA NA 6 2 NA 5
"LTF" 20 22 16 NA 10 39 50 NA 23 NA NA 1 20 NA 24 20
"C4BPA" 15 14 12 NA 1 22 18 NA 5 NA NA NA NA NA 15 10
"YWHAZ" 12 11 12 NA 8 12 11 NA 13 2 3 2 12 2 10 11
"PTGeS3" 3 1 3 NA NA 4 5 NA 8 NA NA NA NA NA 3 3
"APCS" 9 6 5 NA 4 12 7 NA 6 NA NA NA 10 NA 13 8
"SLC2A3" 2 3 2 NA 1 2 3 NA 2 NA NA NA 3 NA 3 1
"MFAP4" 1 2 3 NA 1 4 3 NA 5 NA NA NA 4 NA 7 5
"KRT80" 5 15 6 NA 3 19 5 NA 4 NA NA NA 4 NA 3 2
"ANP32A" NA NA NA NA NA 1 2 NA 1 NA NA NA NA NA 5 NA
"LYSM" 3 5 4 NA 2 5 4 NA 6 NA NA 1 2 1 2 2
"GFAP" 8 15 8 NA 4 12 9 NA 5 NA NA 10 6 8 5 5
"YWHAB" 6 7 6 NA 2 9 5 NA 7 NA NA NA 7 2 7 5
"KRT73" 16 30 15 NA 5 25 19 NA 10 NA 5 NA 11 NA 11 3
"CAT" 29 41 28 NA 5 29 28 NA 28 1 3 NA 28 NA 38 20
"PGK1" 14 17 16 NA 1 9 14 NA 14 1 NA NA 6 NA 9 6
"BLVRB" 25 27 26 NA 7 23 22 NA 15 2 2 1 4 NA 8 4
"HMGB2" 9 5 7 NA 1 6 10 NA 17 NA NA NA 5 NA 7 6
"PROC" 35 46 39 NA 18 58 45 NA 30 4 21 3 22 NA 37 30
"F7" 17 15 14 NA 3 17 14 NA 10 NA NA NA 5 NA 7 5
"H2A1" 5 2 6 NA 1 11 4 NA 3 1 1 3 NA 1 NA 1
"ILK" 6 10 6 NA NA 4 3 NA 12 NA NA NA NA NA 11 NA
"JUP" 7 8 7 12 NA 47 15 NA 3 1 NA 5 6 10 6 NA
"OLFML3" 7 10 10 NA NA NA 1 NA 4 NA NA NA NA NA 2 NA
"RPS27A" 4 4 6 1 NA NA 5 NA 4 NA NA 1 3 2 3 2
"H2AC20" 5 2 6 2 1 NA 4 NA 3 1 1 3 3 1 NA 1
"eeF1A2" NA 13 8 NA NA NA 6 NA 8 4 2 NA NA 1 NA NA
"IGFBP3" 22 20 19 NA NA NA 3 NA 30 NA 1 NA NA NA NA NA
"RPLP0" 3 NA 3 2 NA 7 3 NA 5 NA NA 2 3 2 8 4
"KRT79" 19 NA 18 15 NA 34 25 NA 17 4 5 NA 14 10 18 13
"TUBB4B" 22 19 NA 2 NA 26 11 NA 20 NA NA 1 5 NA 43 16
"CTSL" 19 22 20 NA NA NA 1 NA 20 1 2 NA NA NA 1 NA
"RNASe4" 15 13 12 1 NA NA 3 NA 12 1 2 1 NA NA NA NA
"C1QA" 11 12 11 NA NA 2 1 NA 7 2 2 NA 1 NA 2 NA
"F11R" 4 1 1 NA NA 4 1 NA 1 NA NA NA NA NA 1 NA
"APOC3" 2 3 2 NA NA 3 1 NA 3 NA NA NA 4 NA 2 4
"CDH1" 13 7 12 NA NA 3 5 NA 7 NA NA 1 NA NA NA NA
"IGF2" 6 6 6 NA NA 1 1 NA 5 NA NA 1 NA NA NA NA
"KRT8" 11 16 12 13 NA 21 13 NA 11 NA NA NA 10 8 10 11
"VCP" 4 3 1 2 NA 7 3 NA 19 2 NA NA 14 1 45 10
"HSPA1L" 16 11 11 2 NA 7 5 NA 14 NA NA NA 3 2 5 4
"YWHAe" 5 7 8 1 NA 8 8 NA 6 NA NA NA 8 3 7 8
"MAPRe2" 1 NA NA NA NA NA 1 NA 1 NA NA NA NA NA 1 NA
"P62808" 5 6 3 4 NA 11 2 NA 4 NA NA NA NA 6 2 1
"FN1" 10 11 7 3 NA 6 5 NA 12 NA NA 1 3 NA 55 3
"BPT2" 3 6 5 NA NA 2 1 NA 5 NA NA 1 NA NA NA NA
"IGFBP2" 41 32 30 NA NA 3 7 NA 37 6 5 4 NA NA 7 4
"CHI3L1" 3 3 2 NA NA 2 4 NA 9 NA NA NA NA NA NA NA
"HSPA1A" 27 21 19 2 NA 13 7 NA 25 NA NA NA 9 NA 13 5
"SULT1e1" 10 4 5 NA NA 4 2 NA 6 NA NA NA NA NA 7 3
"ANXA1" 7 4 5 NA NA 10 7 NA 4 NA NA NA 6 NA 5 4
"CLIC1" 7 3 6 NA NA 4 6 NA 5 NA NA NA NA NA 4 4
"CPB2" 29 28 32 1 NA 9 6 NA 31 2 2 1 7 NA 17 7
"APOC4" 3 3 3 NA NA 4 8 NA 4 NA NA NA 2 NA 5 3
"HP" 10 11 6 NA NA 12 11 NA 11 NA NA NA 12 NA 4 4
"AHCY" 16 14 16 NA NA 15 11 NA 12 NA NA NA 7 NA 15 8
"NAP1L4" 4 5 2 NA NA 3 2 NA 3 NA NA NA 2 NA 5 3
"THBS4" 13 14 16 8 NA 5 4 NA 13 3 7 6 1 NA 5 1
"HSP90B1" 10 6 4 NA NA 6 3 NA 2 NA NA NA NA NA 4 4
"CHIA" 12 12 12 2 NA 14 8 NA 12 NA NA 3 6 NA 13 10
"H1-3" 3 4 4 NA NA 6 NA NA 6 NA NA NA NA NA NA NA
"ARG1" 7 2 3 2 NA 4 3 NA 2 NA NA 2 2 NA 1 1
"COL1A1" 7 6 12 2 NA 5 12 NA 10 1 NA 2 13 NA 18 13
