"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"P13645" 96 94 71 104 74 82 119 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 83 68 99 76 47 104 100 85 89 78 196 82 82 82 66 0 0 0 0 0 0 0 0 0 0 96 84 105 96 62 103 62 109 0 0 0 0 0 0 0 0 0
"CSN2" 0 0 0 4 0 0 0 0 3 4 1 0 0 2 0 0 3 0 1 2 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 3 0 2 2 0 2 1 0 3 3 6 0 0 0 3 0 0 2 0 2 0 0 0 2 1 0 2 1
"VTN" 7 8 11 13 11 13 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 10 12 14 9 13 10 10 15 10 6 12 10 10 14 0 0 0 0 0 0 0 0 0 0 10 9 11 10 26 15 24 16 0 0 0 0 0 0 0 0 0
"KRT16" 53 38 22 52 31 35 71 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 39 14 53 33 6 60 64 52 48 27 242 55 17 33 34 0 0 0 0 0 0 0 0 0 0 56 56 29 49 75 25 28 60 0 0 0 0 0 0 0 0 0
"P19823" 16 14 22 17 18 25 9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 12 20 22 18 23 18 19 21 18 25 8 27 24 22 26 0 0 0 0 0 0 0 0 0 0 6 5 31 15 74 31 40 14 0 0 0 0 0 0 0 0 0
"KRT13" 37 13 12 16 11 10 23 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 24 4 24 13 6 19 16 15 13 10 60 15 10 12 13 0 0 0 0 0 0 0 0 0 0 18 16 13 20 9 13 8 16 0 0 0 0 0 0 0 0 0
"P13647" 71 53 24 60 41 36 74 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 54 26 72 38 0 64 65 45 49 27 212 44 28 40 36 0 0 0 0 0 0 0 0 0 0 62 62 42 53 45 41 31 76 0 0 0 0 0 0 0 0 0
"RPS4" 0 0 0 3 3 0 4 7 0 2 4 0 0 4 0 4 4 2 0 0 0 0 0 0 0 0 0 0 0 3 3 0 5 4 0 0 0 19 2 0 3 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5 0 3 5 2 0 0 0 6 3 0 4 4
"Q04695" 55 26 16 33 24 17 51 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 28 13 36 17 0 33 36 31 33 23 175 35 14 18 19 0 0 0 0 0 0 0 0 0 0 45 44 23 38 22 19 23 41 0 0 0 0 0 0 0 0 0
"KRT3" 28 13 10 21 12 12 28 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 17 6 22 11 0 16 18 13 21 8 76 12 7 13 13 0 0 0 0 0 0 0 0 0 0 19 17 12 23 18 19 13 24 0 0 0 0 0 0 0 0 0
"H4C1" 6 8 0 5 4 0 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 9 6 5 3 4 6 7 7 2 23 6 3 6 7 0 0 0 0 0 0 0 0 0 0 6 6 4 5 5 3 5 7 0 0 0 0 0 0 0 0 0
"C4A" 0 9 20 17 23 25 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 9 22 14 13 20 18 18 18 24 26 24 20 21 17 24 0 0 0 0 0 0 0 0 0 0 9 7 33 15 170 26 125 29 0 0 0 0 0 0 0 0 0
"P01024" 27 26 36 34 38 33 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 18 35 32 37 30 28 28 40 44 30 60 35 32 31 32 0 0 0 0 0 0 0 0 0 0 12 14 36 16 440 35 266 65 0 0 0 0 0 0 0 0 0
"KRT78" 0 0 0 0 0 0 0 0 4 7 7 0 0 3 8 0 4 7 11 10 3 0 8 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 10 9 5 7 6 0 8 4 4 0 0 0 5 0 0 4 0 19 0 0 0 4 5 0 0 0
"SYNCRIP" 6 14 0 15 7 3 13 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 11 2 8 4 0 9 10 8 5 4 11 3 9 0 4 0 0 0 0 0 0 0 0 0 0 16 13 3 4 4 4 5 11 0 0 0 0 0 0 0 0 0
"RNASe4" 0 0 0 0 0 0 0 0 1 0 4 1 0 1 0 0 0 0 6 5 1 5 5 0 5 1 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 3 6 1 5 1 7 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 2 0 0 0
"P26583" 15 14 0 17 13 0 16 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 13 0 15 9 0 17 13 10 10 0 2 4 2 7 5 0 0 0 0 0 0 0 0 0 0 18 16 2 8 2 2 11 14 0 0 0 0 0 0 0 0 0
"P0CG53" 0 0 0 2 2 0 6 7 0 3 0 1 0 2 0 4 0 1 5 5 1 6 8 0 0 0 0 0 0 9 0 3 7 7 0 0 2 0 3 3 3 4 0 3 9 0 0 3 0 4 7 4 0 0 3 2 0 4 2 4 4 0 0 0 3 4 0 0 0
"UBC" 0 0 0 2 2 0 6 7 2 3 0 1 0 2 0 4 0 1 5 5 1 6 8 0 0 0 0 0 0 9 0 3 7 7 0 0 2 22 3 3 3 4 0 3 9 0 0 3 0 4 7 4 0 0 3 2 0 4 2 4 4 0 0 0 3 4 0 0 0
"KRT2" 99 93 51 108 78 61 112 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105 93 50 107 70 32 98 106 79 99 69 0 73 66 80 66 0 0 0 0 0 0 0 0 0 0 107 106 77 99 67 96 64 118 0 0 0 0 0 0 0 0 0
"P68032" 19 20 33 36 38 35 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 50 34 38 38 25 30 23 34 40 0 45 35 42 44 0 0 0 0 0 0 0 0 0 0 10 10 40 18 8 48 21 28 0 0 0 0 0 0 0 0 0
"KRT74" 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 5 0 0 8 8 0 5 8 0 8 0 0 0 0 9 0 0 0 0 0 0 0 7 0 0 0 0 5 0 0 4 0 3 0 7 0 0 0 0 0 0 8 0 3 0 26 0 0 4 0 6 0 0 4
"KRT6B" 71 53 0 47 39 35 69 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 48 0 60 31 11 61 77 50 53 0 267 63 23 38 42 0 0 0 0 0 0 0 0 0 0 52 62 31 60 72 0 41 68 0 0 0 0 0 0 0 0 0
"P02647" 3 5 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 7 0 6 6 8 3 7 10 3 5 0 4 4 8 0 0 0 0 0 0 0 0 0 0 2 2 5 9 138 0 92 28 0 0 0 0 0 0 0 0 0
"Q7RTS7" 19 11 0 16 0 6 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 11 4 17 11 0 15 16 12 0 0 21 14 6 11 0 0 0 0 0 0 0 0 0 0 0 14 10 7 12 7 0 8 16 0 0 0 0 0 0 0 0 0
"DSP" 10 8 7 13 7 8 22 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 8 0 24 0 6 17 24 13 9 8 247 11 10 5 5 0 0 0 0 0 0 0 0 0 0 12 26 11 11 25 11 0 36 0 0 0 0 0 0 0 0 0
"P04406" 13 15 8 19 11 0 13 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 9 27 21 20 21 15 16 12 15 11 39 21 9 15 16 0 0 0 0 0 0 0 0 0 0 12 13 18 10 5 14 0 15 0 0 0 0 0 0 0 0 0
"CSRP1" 0 0 0 3 2 0 2 3 0 0 7 0 0 0 5 0 1 0 1 1 0 0 0 0 0 0 0 0 3 3 3 0 2 3 0 0 0 2 3 0 2 3 1 1 2 0 3 2 0 0 0 2 0 0 3 2 0 0 0 4 0 0 0 0 0 0 0 2 3
"ANXA2" 10 8 3 5 2 0 6 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 17 21 23 20 15 23 7 5 0 27 12 8 6 5 0 0 0 0 0 0 0 0 0 0 6 4 4 7 5 8 0 5 0 0 0 0 0 0 0 0 0
"ANXA1" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 4 3 4 7 0 0 0 10 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CRB1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HRNR" 4 0 5 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 6 2 3 5 3 1 2 0 4 0 6 2 0 0 0 0 0 0 0 0 0 0 0 1 1 4 4 3 4 2 0 0 0 0 0 0 0 0 0 0
"RHOB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KRT6C" 67 51 19 44 39 36 66 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 49 0 61 0 11 61 75 49 52 29 295 64 0 0 42 0 0 0 0 0 0 0 0 0 0 53 62 0 54 74 39 42 68 0 0 0 0 0 0 0 0 0
"P68133" 19 20 0 0 38 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 25 0 23 34 0 39 0 0 0 44 0 0 0 0 0 0 0 0 0 0 10 10 0 18 8 48 21 28 0 0 0 0 0 0 0 0 0
"KRT76" 25 13 11 23 14 0 26 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 17 10 19 14 0 18 21 0 22 0 69 16 9 16 14 0 0 0 0 0 0 0 0 0 0 21 17 0 20 18 22 12 25 0 0 0 0 0 0 0 0 0
"S100A8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 2 0 2 6 0 0 0 0 0 0 0 0 0
"LYZ" 1 5 0 5 3 0 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 0 4 0 0 5 3 1 3 0 7 0 0 3 0 0 0 0 0 0 0 0 0 0 0 8 5 0 10 3 0 4 3 0 0 0 0 0 0 0 0 0
"AMY1A" 4 0 10 0 12 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 14 12 11 10 8 11 6 11 12 5 14 0 15 15 0 0 0 0 0 0 0 0 0 0 0 0 16 3 3 11 3 2 0 0 0 0 0 0 0 0 0
"P0DMV9" 17 19 16 0 0 17 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 0 0 0 0 0 16 22 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 8 3 0 6 13 0 0 0 0 0 0 0 0 0
"IGHA1" 0 1 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 2 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 4 83 0 63 12 0 0 0 0 0 0 0 0 0
"H3-5" 0 0 0 0 0 0 4 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"RPS18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 2 2 0 0 0 12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KRT77" 25 13 3 13 0 0 31 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 20 0 17 0 4 14 24 0 12 0 25 0 7 7 0 0 0 0 0 0 0 0 0 0 0 23 11 0 11 12 5 0 17 0 0 0 0 0 0 0 0 0
"P50395" 3 3 0 2 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 4 22 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"P35900" 14 6 4 8 6 4 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 10 3 10 9 0 10 8 10 11 4 13 7 3 6 6 0 0 0 0 0 0 0 0 0 0 6 8 3 0 4 10 4 8 0 0 0 0 0 0 0 0 0
"ITGB6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SeRPIND1" 0 2 11 9 7 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 8 6 11 5 9 7 10 6 0 7 10 9 8 0 0 0 0 0 0 0 0 0 0 0 0 8 5 36 10 19 5 0 0 0 0 0 0 0 0 0
"P06744" 2 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 7 0 7 0 0 2 4 4 22 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SLC1A5" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 9 5 6 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KRT24" 6 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 4 0 0 8 5 0 0 7 7 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"GCC2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NDRG2" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P32754" 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P62826" 5 6 0 5 4 3 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 10 9 9 7 4 8 3 5 2 10 7 0 3 7 0 0 0 0 0 0 0 0 0 0 7 5 6 3 0 4 4 4 0 0 0 0 0 0 0 0 0
"CHI3L1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 8 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 13 14 4 12 11 4 7 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MAST4" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 5 5 6 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"MAST2" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 5 4 5 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P0CG48" 4 4 0 2 2 0 6 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 0 9 0 3 7 7 0 0 2 0 3 3 3 4 0 0 0 0 0 0 0 0 0 0 4 6 3 2 0 4 2 4 0 0 0 0 0 0 0 0 0
"ALOXe3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"AQP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P62979" 4 4 2 2 2 2 6 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 7 9 8 3 7 7 0 0 2 22 3 3 3 4 0 0 0 0 0 0 0 0 0 0 4 6 3 2 0 0 2 4 0 0 0 0 0 0 0 0 0
"VCL" 0 0 31 9 7 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 13 8 29 10 17 14 16 27 11 8 33 13 11 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 46 0 4 0 0 0 0 0 0 0 0 0
"FLG2" 5 5 0 3 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 7 0 0 6 7 0 2 0 5 2 0 3 2 0 0 0 0 0 0 0 0 0 0 6 5 3 5 0 3 0 8 0 0 0 0 0 0 0 0 0
"IQGAP1" 5 0 3 3 0 4 10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 9 8 9 20 4 12 0 7 7 58 0 7 0 0 0 0 0 0 0 0 0 0 0 0 6 5 4 3 0 6 0 5 0 0 0 0 0 0 0 0 0
"NMe1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P35580" 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 14 9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 10 22 0 0 0 0 0 0 0 0 0
"S100A7" 3 3 0 7 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 6 0 0 4 5 2 3 0 32 6 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 0 5 0 0 0 4 0 0 0 0 0 0 0 0 0
"COL14A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"K2CB" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PGAM1" 0 0 4 2 2 5 0 0 0 0 0 0 0 2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 13 4 9 7 0 4 0 0 3 0 7 6 3 7 1 0 1 0 0 0 0 0 0 0 0 0 6 0 0 5 0 0 0 0 0 0 0 0 0 4 7
"NDRG3" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARHGeF9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 2 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P06727" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 36 5 0 0 0 0 0 0 0 0 0
"P04792" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 2 2 4 0 0 36 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"P05109" 5 6 0 4 2 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 5 0 5 2 0 6 7 3 4 0 47 7 0 3 2 0 0 0 0 0 0 0 0 0 0 7 7 0 4 0 0 2 3 0 0 0 0 0 0 0 0 0
"CCDC63" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HSP90B1" 0 0 5 0 0 5 0 0 0 0 0 3 0 6 4 0 0 0 0 0 6 0 0 0 0 0 0 0 8 6 5 6 3 4 0 0 2 0 5 4 5 2 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 3 4
"Q08554" 5 4 0 7 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 5 0 0 3 5 1 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 5 0 2 0 12 0 0 0 0 0 0 0 0 0
"RPL22" 2 1 0 3 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0
"CSTA" 2 3 0 2 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"RAB13" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 3 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6
"JCHAIN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 6 4 0 0 0 0 0 0 0 0 0
"P16403" 3 4 0 4 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 4 0 0 6 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0
"H1-4" 3 4 0 4 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 4 0 0 6 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0
"P08729" 15 9 0 10 6 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 7 15 0 0 11 9 0 10 0 25 7 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0
"BLMH" 1 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 2 0 0 2 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"RPL12" 1 2 0 0 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 4 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Q32LP2" 0 0 0 7 0 6 3 0 5 0 6 4 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 19 18 21 12 13 0 0 0 18 10 0 8 0 5 0 0 4 0 0 6 0 0 0 0 0 0 0 6 10 5 0 0 0 0 0 0 0 0 10 14
"UTP15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 15 0 0 9 0 0 0 0 0 0 0 0 0 0 0 8 0 0 5 0 0 2 0 0
