x
CLeC3B
HRG
APOA2
APOD
KRT71
F13A1
CFD
KRT19
KRT79
CSN1S1
KRT73
F10
MST1
HMGB2
KRT17
UBA52
ACTA1
PROC
LTF
MDH1B
IGFBP2
CKM
BLVRB
IGFBP3
APOA4
ACTG2
ACTA2
KRT20
JUP
CSN1S2
KRT72
MYH10
LOX
DSG1
KRT81
NACA
RPS27A
F12
KRT35
HABP2
KRT78
P0CG53
UBC
CHI3L1
P04272
