"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Au_Cit_24h_3" "AuCit_24h_3" "Au_Cit_24h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "gold" "gold" "Au_Cit_Evs_NO" 10.4823554595167 -11.612962588883 -5.24564108544878 -0.875941146631819 0.206654161344896 -14.5056315839203 24
"Au_Lys_5min_1" "AuLys_5_min_1" "Au_Lys_5min_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 17.3367676038407 -2.84988405636986 3.1119145479955 1.24716617392438 -2.29667744483246 0.309879980178262 21
"Au_Lys_5min_2" "AuLys_5_min_2" "Au_Lys_5min_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 15.6311021346192 -13.5147231392028 -4.55127460703558 -11.8190748114087 -2.83901488147341 -1.48588656153137 21
"Au_Lys_5min_3" "AuLys_5_min_3" "Au_Lys_5min_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 3 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 16.3431840772324 -12.0687562041102 -4.27936224885636 -10.9121800985075 -4.10925725469015 -1.66609917340529 21
"Au_Lys_4h_1" "AuLys_4h_1" "Au_Lys_4h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 17.9359547344497 0.812607098806223 6.04959566443926 4.6169516652284 -3.45799933611122 -2.15180876833624 22
"Au_Lys_4h_2" "AuLys_4h_2" "Au_Lys_4h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 13.8456777702763 -10.8516873149156 -3.66001607630566 -9.1233579396339 -2.27929134526079 -3.89458130521095 22
"Au_Lys_4h_3" "AuLys_4h_3" "Au_Lys_4h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 3 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 15.1261875971731 -12.7679390694541 -5.01312888196107 -10.9153712400003 -1.53189704134564 -2.93099284380987 22
"Au_Lys_24h_1" "AuLys_24h_1" "Au_Lys_24h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 7.88118997066599 -3.44623655258081 5.17468170318699 -0.307479311233742 1.9689938549807 -10.7046896443305 24
"Au_Lys_24h_2" "AuLys_24h_2" "Au_Lys_24h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 14.7134332148289 -12.6023154745671 -5.03460524693703 -9.15930878047502 -0.76419758197247 -0.149144800335796 24
"Au_Lys_24h_3" "AuLys_24h_3" "Au_Lys_24h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 6.48846600659991 -10.5090119731591 1.21160115371742 -6.97141479351504 0.257908331622174 -9.79523649526847 24
"Evs_Control_1" "Evs_Control_1" "Evs_Control_1" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" 1 "5min" "No_particle" "No_particle_Evs_Yes_5min" "white" "gray" "No_particle_Evs_Yes" -11.9351330770669 17.8621865642075 0.830014729591547 -2.24152009520226 -7.03244458745947 -0.772980707415552 21
"Evs_Control_2" "Evs_Control_2" "Evs_Control_2" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" 2 "5min" "No_particle" "No_particle_Evs_Yes_5min" "white" "gray" "No_particle_Evs_Yes" -42.3764943883987 -18.4445393473967 5.7387265925626 6.33227555618327 0.390952148243358 1.6145160486285 21
"Evs_Control_3" "Evs_Control_3" "Evs_Control_3" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" 3 "5min" "No_particle" "No_particle_Evs_Yes_5min" "white" "gray" "No_particle_Evs_Yes" -42.824646151658 -16.3348144707791 6.70886450562726 3.2030506765607 0.294383306667929 1.10198804774301 21
"Evs_4h_1" "Evs_4h_1" "Evs_4h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "gray" "No_particle_Evs_Yes" -4.59468203527513 18.8401405281444 7.02339051805431 -3.73989627963515 -1.01369837099709 -2.95873857253344 22
"Evs_4h_2" "Evs_4h_2" "Evs_4h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 2 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "gray" "No_particle_Evs_Yes" -11.4424966945295 14.0179938571239 -5.39156597485982 -1.74298922662419 -6.76890840242371 1.58564620527731 22
"Evs_4h_3" "Evs_4h_3" "Evs_4h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 3 "4h" "No_particle" "No_particle_Evs_Yes_4h" "white" "gray" "No_particle_Evs_Yes" -7.60615086181027 17.7921098125038 1.95408873308829 -2.49300506533997 -3.50964231817154 -0.354520001973173 22
"Evs_24h_1" "Evs_24h_1" "Evs_24h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "gray" "No_particle_Evs_Yes" -4.40876544253391 19.4637058577456 8.29721064643537 -4.96753079397695 -0.948249700679736 -2.28868527702062 24
"Evs_24h_2" "Evs_24h_2" "Evs_24h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 2 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "gray" "No_particle_Evs_Yes" -11.1165315134545 11.0377613644366 -7.33098388187491 1.50638750404802 -2.12119106538374 1.90444271244553 24
"Evs_24h_3" "Evs_24h_3" "Evs_24h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 3 "24h" "No_particle" "No_particle_Evs_Yes_24h" "white" "gray" "No_particle_Evs_Yes" -11.1612413558149 13.5167046237608 -4.92403538691143 -0.583796164197397 -4.45007140439241 1.82936827812883 24
"Evs_Pd_Control_1" "Evs_Pd_Control_1" "Evs_Pd_Control_1" "Yes" "NO" "NO" "NO" "Yes" "NO" "Yes" 1 "5min" "Pd" "Pd_Evs_Yes_5min" "white" "green" "Pd_Evs_Yes" -15.8165803940427 8.00100754056665 -10.0391415894616 0.630376202712631 -13.1405033741175 -0.135692327305648 21
"Evs_Pd_Control_2" "Evs_Pd_Control_2" "Evs_Pd_Control_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "Yes" 2 "5min" "Pd" "Pd_Evs_Yes_5min" "white" "green" "Pd_Evs_Yes" -43.3091403884657 -8.51110796700337 11.2223283245372 -8.90064138975207 0.655547590899341 0.0553685162350339 21
"Evs_Pd_Control_3" "Evs_Pd_Control_3" "Evs_Pd_Control_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "Yes" 3 "5min" "Pd" "Pd_Evs_Yes_5min" "white" "green" "Pd_Evs_Yes" -43.7574991537563 -8.4940123341339 10.0791753610902 -8.25721602643315 0.789843841076735 0.0803382595950249 21
"Evs_Pd_4h_1" "Evs_Pd_4h_1" "Evs_Pd_4h_1" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "green" "Pd_Evs_Yes" -5.15241945996551 18.1192837094952 4.21198759153758 -2.8344389490294 2.61030327974213 -1.87380432548678 22
"Evs_Pd_4h_2" "Evs_pd_4h_2" "Evs_Pd_4h_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "green" "Pd_Evs_Yes" -21.5574593828275 2.0110875321535 -6.88851359345911 -3.09293357503704 -13.5113796332842 -1.41549835512491 22
"Evs_Pd_4h_3" "Evs_Pd_4h_3" "Evs_Pd_4h_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "4h" "Pd" "Pd_Evs_Yes_4h" "white" "green" "Pd_Evs_Yes" -7.33067649673032 15.6200999583971 -2.11987842745562 -2.35292077434506 -1.43974891439118 2.31957358744712 22
"Evs_Pd_24h_1" "Evs_Pd_24h_1" "Evs_Pd_24h_1" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "green" "Pd_Evs_Yes" -4.94631322471532 16.5662744175267 2.81463609894121 -2.21367900920498 2.74455858905574 -1.13925002851678 24
"Evs_Pd_24h_2" "Evs_Pd_24h_2" "Evs_Pd_24h_2" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "green" "Pd_Evs_Yes" -6.04826077230891 15.6229985522764 -0.798114917296444 -1.63285311004919 2.24148813652016 0.453427126094954 24
"Evs_Pd_24h_3" "Evs_Pd_24h_3" "Evs_Pd_24h_3" "Yes" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "24h" "Pd" "Pd_Evs_Yes_24h" "white" "green" "Pd_Evs_Yes" -6.54980421224884 15.3713121076744 0.0843372430473265 -2.53007594595391 3.33704434873546 3.03588649840397 24
"Pd_5min_1" "Pd_5_min_1" "Pd_5min_1" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 1 "5min" "Pd" "Pd_Evs_NO_5min" "green" "green" "Pd_Evs_NO" 19.7455934645438 -2.58491811750091 4.19048051030913 2.21493324571428 0.857708651113432 3.53545138148146 21
"Pd_5min_2" "Pd_5_min_2" "Pd_5min_2" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 2 "5min" "Pd" "Pd_Evs_NO_5min" "green" "green" "Pd_Evs_NO" 18.9484932219559 -7.78888359380171 0.323715605379899 -4.55122465893014 0.0359980788779079 6.82776814356427 21
"Pd_5min_3" "Pd_5_min_3" "Pd_5min_3" "NO" "NO" "NO" "NO" "Yes" "NO" "Yes" 3 "5min" "Pd" "Pd_Evs_NO_5min" "green" "green" "Pd_Evs_NO" 20.398621418302 -8.54956998823396 -0.257545935369801 -3.39088205099147 -2.19172453975035 9.86116876715482 21
"Pd_4h_1" "Pd_4h_1" "Pd_4h_1" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "4h" "Pd" "Pd_Evs_NO_4h" "green" "green" "Pd_Evs_NO" 18.1852567894251 -2.07538593374929 5.15858315745264 1.87722323926927 0.0958921244636924 5.03685276270165 22
"Pd_4h_2" "Pd_4h_2" "Pd_4h_2" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "4h" "Pd" "Pd_Evs_NO_4h" "green" "green" "Pd_Evs_NO" 20.2907064956961 -7.21411574745789 0.428025599421573 -2.38961182147527 1.28448028689704 7.87883174151747 22
"Pd_4h_3" "Pd_4h_3" "Pd_4h_3" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "4h" "Pd" "Pd_Evs_NO_4h" "green" "green" "Pd_Evs_NO" 19.3138521573223 -6.75151584314422 0.762619648711847 -1.65070751515653 1.65825954823664 8.68603786498853 22
"Pd_24h_1" "Pd_24h_1" "Pd_24h_1" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 1 "24h" "Pd" "Pd_Evs_NO_24h" "green" "green" "Pd_Evs_NO" 18.1184648124946 0.533910085722536 5.9561526157006 3.37330099211216 -3.27585048263187 4.89711902906895 24
"Pd_24h_2" "Pd_24h_2" "Pd_24h_2" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 2 "24h" "Pd" "Pd_Evs_NO_24h" "green" "green" "Pd_Evs_NO" 17.7275633786264 -9.60042670167486 -2.20355894266648 -5.48777463228476 -1.89785762300884 7.12788702903689 24
"Pd_24h_3" "Pd_24h_3" "Pd_24h_3" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 3 "24h" "Pd" "Pd_Evs_NO_24h" "green" "green" "Pd_Evs_NO" 16.7914021914986 -7.61388912509201 -0.543049505491548 -3.6168105099877 -0.169550702193386 8.37025068603257 24
"Pd_24h_4" "Pd_24h_4" "Pd_24h_4" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 4 "24h" "Pd" "Pd_Evs_NO_24h" "green" "green" "Pd_Evs_NO" 18.4473799108339 -7.08785279691637 -2.79365343879825 0.748281423068548 2.33367542372555 1.22296121968395 24
"Evs_Pt_Control_1" "Evs_Pt_Control_1" "Evs_Pt_Control_1" "Yes" "NO" "NO" "NO" "NO" "Yes" "Yes" 1 "5min" "Pt" "Pt_Evs_Yes_5min" "white" "blue" "Pt_Evs_Yes" -12.9648467543186 5.10742314331134 -12.109551673059 4.32232906394554 -4.92684641817679 1.32631832183582 21
