"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "Fill_short" "Color_short" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Au_Cit_24h_3" "AuCit_24h_3" "Au_Cit_24h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "steelblue" "steelblue" "Au_Cit_Evs_NO" "cyan" "cyan" 9.78049686748085 -11.5564055292821 -5.81108578319977 0.000591664425896418 0.31341443994516 13.8976301967883
"Au_Lys_5min_1" "AuLys_5_min_1" "Au_Lys_5min_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "darkred" "darkred" 16.5857763942735 -2.72246683713894 4.21971126798696 0.420317727030218 1.01957683098747 0.505331172274252
"Au_Lys_5min_2" "AuLys_5_min_2" "Au_Lys_5min_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "darkred" "darkred" 14.7058613492396 -13.5735025439763 -4.80267095014689 -11.7481096540693 2.24322693558069 1.52846524626124
"Au_Lys_5min_3" "AuLys_5_min_3" "Au_Lys_5min_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 3 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "darkred" "darkred" 15.4571155564147 -12.2001951843817 -4.26303215240815 -10.9805178339719 3.51276289274563 1.80601619362977
"Au_Lys_4h_1" "AuLys_4h_1" "Au_Lys_4h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "green4" "green4" 17.1167377223649 0.964588191099797 7.06739355602284 3.66886933405666 2.20889038165501 2.51163187117752
"Au_Lys_4h_2" "AuLys_4h_2" "Au_Lys_4h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "green4" "green4" 13.1535900349235 -10.8629430963723 -4.061689144153 -9.09650481382036 2.07288504368851 3.82872785782069
"Au_Lys_4h_3" "AuLys_4h_3" "Au_Lys_4h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 3 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "green4" "green4" 14.2458604203077 -12.8148273675614 -5.50328260793752 -10.6311261788605 1.33099482857354 2.79044053011261
"Au_Lys_24h_1" "AuLys_24h_1" "Au_Lys_24h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "navy" "navy" 7.26684314906116 -2.80772246467465 4.94096778770523 -0.670689527466768 -3.01036853640656 11.8045649660897
"Au_Lys_24h_2" "AuLys_24h_2" "Au_Lys_24h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "navy" "navy" 13.9747006781221 -12.625481002329 -5.6579566053081 -8.81753737464823 1.11566746707116 -0.223029132654852
"Au_Lys_24h_3" "AuLys_24h_3" "Au_Lys_24h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "palegreen4" "palegreen4" "Au_Lys_Evs_NO" "navy" "navy" 5.65919122666748 -10.0907437227118 0.0855388640858657 -6.99923869794791 -0.75245447971436 10.1860826634622
