"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Au_Cit_5min_1" "AuCit_5_min_1" "Au_Cit_5min_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "Au_Cit_Evs_NO" "yellow" "yellow" -5.81670224753463 1.44800748991471 -5.90491751788706 2.0431327493963 -1.71681741517626 1.44531114042468 21
"Au_Cit_5min_2" "AuCit_5_min_2" "Au_Cit_5min_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "Au_Cit_Evs_NO" "yellow" "yellow" 0.80117763963959 3.84058023189555 9.06000173835992 0.662520831550857 -1.21436336968384 -0.831205367577762 21
"Au_Cit_5min_3" "AuCit_5_min_3" "Au_Cit_5min_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 3 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "Au_Cit_Evs_NO" "yellow" "yellow" -1.77725513024076 4.311988616467 8.11514480657929 0.60951288928983 0.759662578210396 -1.53115338607353 21
"Au_Cit_4h_1" "AuCit_4h_1" "Au_Cit_4h_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 1 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "Au_Cit_Evs_NO" "yellow" "yellow" -8.65796943111584 -0.636575967776238 -1.93158252028201 0.897083353694768 2.80872367204751 1.34466567952911 22
"Au_Cit_4h_2" "AuCit_4h_2" "Au_Cit_4h_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 2 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "Au_Cit_Evs_NO" "yellow" "yellow" -5.77497834394953 -7.99819572714739 7.90494744443773 -6.60075117619886 -0.534699010624819 2.54971384676793 22
"Au_Cit_4h_3" "AuCit_4h_3" "Au_Cit_4h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "Au_Cit_Evs_NO" "yellow" "yellow" -14.6791170068891 -1.94243376475223 0.939543472035349 -6.57363206582922 2.63595178514954 -2.24784794590585 22
"Au_Cit_24h_1" "AuCit_24h_1" "Au_Cit_24h_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 1 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "Au_Cit_Evs_NO" "yellow" "yellow" -10.8890888368756 0.318784630764038 -3.9880115755222 -5.12142606959338 0.10761069273637 -2.08163803134686 24
"Au_Cit_24h_2" "AuCit_24h_2" "Au_Cit_24h_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 2 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "Au_Cit_Evs_NO" "yellow" "yellow" -5.71675583216379 -1.61132941627307 12.4532321073913 -1.12149392920032 -0.769682561951267 -4.20693450814455 24
"Au_Cit_24h_3" "AuCit_24h_3" "Au_Cit_24h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "Au_Cit_Evs_NO" "yellow" "yellow" 11.1697196411549 -11.2251817222586 14.1464292940752 -4.87475251973054 -8.06906026861702 9.86035183076901 24
"Au_Lys_5min_1" "AuLys_5_min_1" "Au_Lys_5min_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "Au_Lys_Evs_NO" "gold" "gold" -3.60345618087951 -0.844606827219065 -5.75036323937103 -1.46083757187806 -5.7609483344324 3.79302203616531 21
