x
KRT17
YWHAZ
LDHA
PGK1
P00558
MYH10
MSN
eZR
GPI
TUBB6
RDX
ANXA2
Q32LP2
P06733
Q3SWY2
ANXA5
Q0VCM4
P26038
P15311
P63104
Q9BUF5
eDIL3
Q9BQe3
Q9NY65
