"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Au_Cit_24h_3" "AuCit_24h_3" "Au_Cit_24h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" "3" "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "Au_Cit_Evs_NO" "gold" "gold" 12.8784440592696 -7.74357783354539 5.60101033679045 0.187271515859724 -0.204077304605052 15.000177416714 24
"Au_Lys_5min_1" "AuLys_5_min_1" "Au_Lys_5min_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" "1" "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 13.3300144386203 -9.02594212668982 0.466036911729469 -1.07217255065974 0.760184585386673 -1.50370180707295 21
"Au_Lys_5min_2" "AuLys_5_min_2" "Au_Lys_5min_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" "2" "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 18.421036747092 -9.08131955429044 4.29570570825622 11.933962372184 1.20559422229443 1.8996964402917 21
"Au_Lys_5min_3" "AuLys_5_min_3" "Au_Lys_5min_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" "3" "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 18.7899432600232 -8.6766388943545 5.44032028207468 10.6955150953457 3.01213671172143 1.68338778213749 21
"Au_Lys_4h_1" "AuLys_4h_1" "Au_Lys_4h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "1" "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 13.7320573920696 -5.5451941715815 -2.92984106240809 -4.48054657672635 2.50176253048089 1.46031144116718 22
"Au_Lys_4h_2" "AuLys_4h_2" "Au_Lys_4h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "2" "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 16.5493841024874 -6.34170569076386 2.83102107260165 9.1385335075377 1.03123175245453 4.52338342503382 22
"Au_Lys_4h_3" "AuLys_4h_3" "Au_Lys_4h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "3" "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 17.6341754516657 -9.05801038257869 5.84457322668287 10.5059913166246 0.582689285835 3.21851621915258 22
"Au_Lys_24h_1" "AuLys_24h_1" "Au_Lys_24h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "1" "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 3.81412457135625 -10.3164545387228 -1.23784856016465 0.0418635139438427 -4.09223232474233 9.12187910956425 24
"Au_Lys_24h_2" "AuLys_24h_2" "Au_Lys_24h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "2" "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 17.5237206529463 -7.70319448229553 3.92673272256545 9.19592597946388 -0.139199196700134 1.28208492594934 24
"Au_Lys_24h_3" "AuLys_24h_3" "Au_Lys_24h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" "3" "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "Au_Lys_Evs_NO" "goldenrod3" "goldenrod3" 8.80840681395996 -7.79648034443886 -0.393681705881715 6.31938609297481 -0.877660682066758 9.81697692101852 24
"Evs_Control_1" "Evs_Control_1" "Evs_Control_1" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" "1" "5min" "No_particle" "No_particle_Evs_Yes_5min" "No_particle_Evs_Yes" "white" "gray" -16.7211979413579 11.2149460595615 0.0182156737252696 2.69700015228083 6.96139125481717 1.42325829772216 21
"Evs_Control_2" "Evs_Control_2" "Evs_Control_2" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" "2" "5min" "No_particle" "No_particle_Evs_Yes_5min" "No_particle_Evs_Yes" "white" "gray" -39.4119148010567 -17.4984211842528 -4.91270047156947 -6.08898993641089 -0.527187219665999 -2.02395415742791 21
"Evs_Control_3" "Evs_Control_3" "Evs_Control_3" "Yes" "NO" "NO" "NO" "NO" "NO" "Yes" "3" "5min" "No_particle" "No_particle_Evs_Yes_5min" "No_particle_Evs_Yes" "white" "gray" -40.2221700608369 -16.3467802127066 -4.81505177597351 -3.37680403345817 0.173934266398491 -1.50815935655148 21
"Evs_4h_1" "Evs_4h_1" "Evs_4h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" "1" "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -9.54018400188076 11.6714640457738 -6.0956947323979 3.7687409367497 0.647580310014984 3.20069509156346 22
"Evs_4h_2" "Evs_4h_2" "Evs_4h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" "2" "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -9.76486859177654 17.748896498524 1.73028665400905 2.28544246454473 7.67388249923998 0.0623791258341829 22
"Evs_4h_3" "Evs_4h_3" "Evs_4h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" "3" "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -6.4443741350441 20.0469515430465 -4.68664103795526 2.36853877590652 5.28989758810347 1.81028448458289 22
